Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
58,2.0,0.0,0.0,1338.0,18.0,94.0,3762.0,0.1,81.01200000000006,0.0,0.0,563.2941715717316,,,,,,,,,,,,,,,,,,,,,35.24409300470285,25.12627558659007,77.85468677642403,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2.0,0.0,0.0,1395.0,19.0,57.0,3819.0,0.1,50.005999999999986,0.0,0.0,568.6815481185913,,,,,,,,,,,,,,,,,,,,,22.868184944689116,15.649917086688525,48.80006478766327,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2.0,0.0,0.0,1463.0,20.0,68.0,3887.0,0.1,55.01199999999997,0.0,0.0,574.9469764232635,,,,,,,,,,,,,,,,,,,,,23.042032168263002,17.787770547088915,53.55219264565678,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,3.0,0.0,0.0,138.0,1.0,138.0,4025.0,0.1,127.01000000000005,0.0,0.0,868.2616908550262,,,,,,,,,,,,,,,,,,,,,57.37308699249821,37.03476622633651,119.3310567775336,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,3.0,0.0,0.0,163.0,2.0,25.0,4050.0,0.1,18.006000000000007,0.0,0.0,871.1470103263855,,,,,,,,,,,,,,,,,,,,,7.5199351835839,6.287987477165447,17.85369114901729,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,3.0,0.0,0.0,207.0,3.0,44.0,4094.0,0.1,33.00999999999998,0.0,0.0,875.4684853553772,,,,,,,,,,,,,,,,,,,,,13.361238357473077,11.11952472179779,32.48704711946299,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,3.0,0.0,0.0,276.0,4.0,69.0,4163.0,0.1,58.00999999999998,0.0,0.0,881.8454084396362,,,,,,,,,,,,,,,,,,,,,25.15778443285423,18.445574799463948,56.386830147598104,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,3.0,0.0,0.0,331.0,5.0,55.0,4218.0,0.1,44.00999999999998,0.0,0.0,887.0510261058807,,,,,,,,,,,,,,,,,,,,,18.535899731607575,14.404403456687628,43.076635709544966,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,3.0,0.0,0.0,483.0,6.0,152.0,4370.0,0.1,142.00900000000004,0.0,0.0,900.4758450984955,,,,,,,,,,,,,,,,,,,,,64.64212805044993,40.661719427151326,132.44816040898925,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,3.0,0.0,0.0,515.0,7.0,32.0,4402.0,0.1,20.011000000000013,0.0,0.0,903.9760012626648,,,,,,,,,,,,,,,,,,,,,7.1487626917334275,7.04982631156136,19.82186349899903,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
